cohort,source,model,scale,weight,iterate,converged,a,beta,c,b,m,h2,r,theta,weighted_R2
1780-1859,published,unrestricted,log,equal,False,True,-0.5488653406890458,-0.2702227258726234,0.16177311816008758,0.763209488905841,0.5264189778116819,0.57760482339282,0.7944482137058095,1.0,0.7549247548242238
1780-1859,published,unrestricted,level,equal,False,True,-0.41515671058033693,-0.2881109911851938,0.06325237622108651,0.7496783799293077,0.4993567598586155,0.6602368065043366,0.5972582499701291,1.0,0.9640028092149386
1780-1859,published,ph_fixed,log,equal,False,True,-0.5624317524048497,-0.26886135922333065,0.23192778100687794,0.764249204406888,0.528498408813776,0.5698217123654475,0.9274802931251426,1.0,0.7540554618371017
1780-1859,published,ph_fixed,level,equal,False,True,-0.4292442364196921,-0.29842583784964527,0.16113045684100302,0.7419853070355884,0.4839706140711768,0.6510009116310114,0.7434254014462768,1.0,0.9538953453253255
1780-1859,published,ph_free,log,equal,False,True,-0.5488653398675666,-0.2702227261859497,0.16177312958895196,0.7632094886667073,0.5264189773334147,0.662622125690272,0.7944482336520672,0.871695648957697,0.7549247548242238
1780-1859,published,ph_free,level,equal,False,True,-0.41515670977395464,-0.28811099133238827,0.06325237495032193,0.7496783798189592,0.4993567596379186,0.8360818147869707,0.5972582477052824,0.7896796645492937,0.9640028092149386
1780-1859,published,genetic,log,equal,False,True,-0.46925690393070335,-0.2817257796172582,0.0,0.7544805501136367,0.5089611002272734,0.625466877614868,0.31833831018658054,1.0,0.7511452355060682
1780-1859,published,genetic,level,equal,False,True,-0.3747424409416284,-0.2956761350745432,0.0,0.7440283536916925,0.488056707383385,0.6874663191686443,0.3355225481704238,1.0,0.9611980454233311
1780-1859,published,unrestricted,log,N,False,True,-0.5696893257181374,-0.2631324914772003,0.18371705595881724,0.7686400523085462,0.5372801046170923,0.5657011602037428,0.8473122503350281,1.0,0.7298428173350333
1780-1859,published,unrestricted,level,N,False,True,-0.42009643633050553,-0.2840012389963897,0.0699474361405304,0.7527657120316189,0.5055314240632378,0.6569834596859417,0.6146098970848153,1.0,0.9587532624987541
1780-1859,published,ph_fixed,log,N,False,True,-0.5764612172426096,-0.26237110001955444,0.24129914075863493,0.7692255111317684,0.5384510222635368,0.5618832351889524,0.9582970064633879,1.0,0.7294726119600283
1780-1859,published,ph_fixed,level,N,False,True,-0.4359427767368825,-0.28706135757077217,0.16751763777887596,0.7504656806732667,0.5009313613465334,0.646654728570403,0.7746504265946857,1.0,0.9516850728754678
1780-1859,published,ph_free,log,N,False,True,-0.5696893200133468,-0.2631324922042944,0.1837170251605046,0.7686400517496725,0.5372801034993452,0.6340993420254671,0.847312192097759,0.8921333392713556,0.7298428173350333
1780-1859,published,ph_free,level,N,False,True,-0.42009643517946005,-0.2840012393892965,0.06994743541094284,0.7527657117358522,0.5055314234717044,0.8225240552751406,0.6146098952724249,0.7987407252452862,0.9587532624987541
1780-1859,published,genetic,log,N,False,True,-0.5107032251196983,-0.27169660160376197,0.0,0.7620854415189316,0.5241708830378633,0.6000734436823874,0.3145410268625685,1.0,0.7265281598329976
1780-1859,published,genetic,level,N,False,True,-0.38456258562549356,-0.2913776153184063,0.0,0.7472334579359892,0.4944669158719782,0.6807483401992622,0.3366075322632974,1.0,0.9561309624971733
1780-1859,published,unrestricted,log,normal_corr,False,True,-0.5298893189753998,-0.2681871024527388,0.15690389816498573,0.7647646783687544,0.5295293567375088,0.5886701206849075,0.7893706686476061,1.0,0.7780556585195635
1780-1859,published,unrestricted,log,normal_corr,True,True,-0.5361711329010805,-0.2682049293194895,0.16203761244062367,0.7647510451322568,0.5295020902645136,0.5849837950512309,0.7985483434799989,1.0,0.7714746205887857
1780-1859,published,unrestricted,level,normal_corr,False,True,-0.42951497421331486,-0.2806831699825529,0.0790670985653681,0.7552675890202615,0.510535178040523,0.6508246849372396,0.6348173885360464,1.0,0.9691511734880643
1780-1859,published,unrestricted,level,normal_corr,True,False,-0.42901741470851545,-0.28148338451258453,0.07899709134312262,0.754663454672245,0.5093269093444901,0.6511485895194076,0.6333953537160986,1.0,0.9687368133382277
1780-1859,published,ph_fixed,log,normal_corr,False,True,-0.54025769247619,-0.267034815416747,0.22200455676089131,0.7656464147023347,0.5312928294046695,0.582598101880997,0.9119371101438856,1.0,0.7774203197608214
1780-1859,published,ph_fixed,log,normal_corr,True,False,-0.5476034106369486,-0.26691531159205073,0.22556038564965802,0.7657379178446355,0.531475835689271,0.5783341803796561,0.9189770442763313,1.0,0.7739594501148486
1780-1859,published,ph_fixed,level,normal_corr,False,True,-0.4440338415741532,-0.286731829892919,0.1711609184557654,0.7507130206367711,0.5014260412735424,0.6414437129950299,0.7817147960376495,1.0,0.9610332857610019
1780-1859,published,ph_fixed,level,normal_corr,True,False,-0.4439776522376706,-0.2883996589141077,0.17061250811327744,0.7494620032059489,0.49892400641189777,0.6414797563042693,0.7777704619804807,1.0,0.9614210821784966
1780-1859,published,ph_free,log,normal_corr,False,True,-0.5298893260145094,-0.26818710139869073,0.15690391982848403,0.7647646791748531,0.5295293583497063,0.6708246861868166,0.7893707092977177,0.8775319821448201,0.7780556585195634
1780-1859,published,ph_free,log,normal_corr,True,False,-0.5361711331590694,-0.26820492930308804,0.16203761836735975,0.7647510451447999,0.5295020902895996,0.6630808109805788,0.798548354169019,0.8822209679619961,0.7714746206961185
1780-1859,published,ph_free,level,normal_corr,False,True,-0.4295149735103442,-0.2806831703056677,0.07906709869414064,0.7552675887762234,0.5105351775524467,0.8042236823180063,0.6348173882183324,0.8092582943079771,0.9691511734880643
1780-1859,published,ph_free,level,normal_corr,True,False,-0.42901741455270836,-0.28148338461151196,0.07899709114566643,0.7546634545975881,0.5093269091951761,0.8041216383989327,0.633395353231987,0.8097637950862105,0.9687368133438161
1780-1859,published,genetic,log,normal_corr,False,True,-0.4690242872077526,-0.27715931946422634,0.0,0.7579337338943952,0.5158674677887906,0.6256123885937404,0.32273307872114965,1.0,0.7748632655221339
1780-1859,published,genetic,log,normal_corr,True,False,-0.47669771092347946,-0.2769199471530417,0.0,0.7581151839601967,0.5162303679203933,0.6208301711100737,0.3204913876482341,1.0,0.7650512125387967
1780-1859,published,genetic,level,normal_corr,False,True,-0.3843657489900598,-0.2903833287652901,0.0,0.7479767915973468,0.49595358319469346,0.6808823496006713,0.3376860410184749,1.0,0.9650503377617305
1780-1859,published,genetic,level,normal_corr,True,True,-0.3882779095157616,-0.2899686059684507,0.0,0.7482870589573556,0.4965741179147113,0.6782238322140215,0.33678840123041287,1.0,0.9643599320901243
1780-1859,published,unrestricted,log,normal_log,False,True,-0.4755686568844369,-0.25146874728087754,0.09207082710162769,0.7776577611495723,0.5553155222991446,0.6215315177769642,0.7053140040560724,1.0,0.974026091080075
1780-1859,published,unrestricted,log,normal_log,True,True,-0.40050837986605636,-0.3012866531787179,0.07407521111255817,0.7398656575038581,0.47973131500771626,0.6699793554278812,0.5935045950527553,1.0,0.8848175077816522
1780-1859,published,unrestricted,level,normal_log,False,True,-0.4718410745407145,-0.25522137695213126,0.09825069898627603,0.7747449682956639,0.5494899365913277,0.6238526511088561,0.7094582416934287,1.0,0.9920542162129239
1780-1859,published,unrestricted,level,normal_log,True,True,-0.45541516411573374,-0.2682177074379465,0.09463367312853267,0.7647412731152461,0.5294825462304922,0.6341846225881902,0.6812930100901224,1.0,0.9834446311588516
1780-1859,published,ph_fixed,log,normal_log,False,True,-0.4890481089009595,-0.2577805544948688,0.20101418322272366,0.7727647932619359,0.545529586523872,0.6132098254335302,0.8896295589167879,1.0,0.9489695310184638
1780-1859,published,ph_fixed,log,normal_log,True,True,-0.41449010087949545,-0.3073777629160967,0.15219644209953037,0.7353727518748608,0.47074550374972174,0.6606770734912237,0.7125198113234892,1.0,0.8778229263029134
1780-1859,published,ph_fixed,level,normal_log,False,True,-0.4406024342479037,-0.29909784240930404,0.16577710406055082,0.7414868570251585,0.48297371405031697,0.6436485483318289,0.7503686838136437,1.0,0.953157546529399
1780-1859,published,ph_fixed,level,normal_log,True,False,-0.42080295597630085,-0.3170831380714955,0.15185176974006787,0.7282702056283288,0.45654041125665756,0.6565194518993211,0.695395102058102,1.0,0.9504234879569889
1780-1859,published,ph_free,log,normal_log,False,True,-0.4755686569309378,-0.25146874723841095,0.09207082696870024,0.7776577611825968,0.5553155223651935,0.7873309182763693,0.7053140039018084,0.7894158648166948,0.974026091080075
1780-1859,published,ph_free,log,normal_log,True,False,-0.40050838079586876,-0.30128665294089085,0.07407521233867045,0.7398656576798182,0.4797313153596364,0.8083026104143147,0.5935045973855494,0.8288719424789588,0.884817507785288
1780-1859,published,ph_free,level,normal_log,False,True,-0.47184107423030913,-0.25522137727347455,0.09825069921335237,0.7747449680467048,0.5494899360934096,0.7745204776346309,0.7094582415322835,0.805469538013683,0.9920542162129239
